v1,v2
31,20
35,20
34,20
33,20
32,20
32,20
32,20
32,20
33,20
34,20
37,20
42,20
48,20
55,20
60,20
64,20
67,20
70,20
72,20
75,20
76,20
78,20
79,20
80,20
82,20
84,20
86,20
88,20
89,20
89,20
89,20
89,20
88,20
88,20
87,20
86,20
84,20
81,20
76,20
72,20
70,20
69,20
69,20
67,20
66,20
66,20
66,20
66,20
67,20
69,20
72,20
75,20
77,20
80,20
82,20
83,20
84,20
85,20
84,20
81,20
79,20
78,20
78,20
77,20
77,20
75,20
73,20
71,20
69,20
67,20
66,20
65,20
65,20
65,20
65,20
65,20
65,20
65,20
64,20
64,20
62,20
60,20
57,20
55,20
54,20
53,20
53,20
52,20
51,20
49,20
